ROI,Foreground Blur Score,Background blur score,Brightness Score,Noise score,Simplicity score,Contrast score,Area Ratio,Rule of third score,Potrait mode,Landscape Mode,Output
1,648.871987,623.9329657,72.94250686,0.968613806,21.40760963,68.26603626,0.505922379,0.023404224,0,1,0
1,1586.682758,1524.952013,75.02927828,1.001058141,32.55636265,53.85724207,0.417763558,0.017671228,1,0,0
1,667.572335,632.2384379,93.94925939,1.927108306,21.84044415,88.2449448,0.562964058,0.024951008,0,1,0
1,276.5017293,889.2254733,150.1418594,1.641565784,32.4164348,72.14208899,0.089777629,0.00415861,0,1,1
1,1039.308285,357.9499817,106.1489453,4.325432197,42.81846269,67.78296547,0.965438843,0.040727095,1,1,0
1,348.4329325,139.6298775,160.1467051,0.980553706,39.15156444,59.18708779,0.253534953,0.012033153,0,1,1
1,1821.043502,1914.898373,75.18523646,1.870296855,17.58637829,52.28146875,0.000434875,1.70E-05,1,1,0
1,2873.884531,14547.3666,76.71458763,3.026969412,43.39553299,59.26276848,0.004026684,0.000169484,0,1,1
1,718.6610921,1757.217393,158.8324199,3.734500157,34.54888985,57.57786349,0.00181071,8.40E-05,1,0,1
1,1823.169474,2658.820745,132.9767592,4.49407932,56.61801518,82.03195698,0.005339222,0.000220083,1,0,1
1,2649.724834,129.2226409,149.7125114,6.159246258,28.4232905,65.294387,0.545898438,0.024130242,1,1,1
1,606.1448446,73.06681656,207.5112599,2.152335389,25.84230197,36.71962396,0.320544401,0.014376847,0,1,1
1,1449.465818,2592.805268,91.27546862,10.22424155,42.80788055,48.14081182,0.266052246,0.011697627,1,1,0
1,705.3017109,772.9006895,121.9707732,0.309017082,20.05948768,55.14300201,0.459308836,0.020649469,0,1,0
1,627.8145638,452.6709235,37.5798131,2.029205873,13.20184408,28.3423128,0.955030907,0.040137931,1,0,0
1,929.436443,940.8440504,140.2346986,1.007040035,21.45521622,59.35369153,0.251911009,0.010928285,1,0,0
1,2006.995461,1959.789729,75.01389155,0.716461467,29.9360507,55.93192315,0.881474951,0.037828593,0,1,0
1,593.5780792,738.8831595,173.2402238,2.371776607,25.34570958,65.79766726,0.299813279,0.013568244,0,1,0
1,1326.41114,2760.522086,131.262916,5.997170142,19.75274923,57.20914673,0.316242247,0.014301288,1,0,0
1,1490.017474,663.8998996,189.6584539,2.866682033,137.4087868,160.8357513,3.56E-05,1.59E-06,0,1,1
1,1136.750638,1115.792957,41.69408644,0.549386879,27.41802269,37.53056805,0.004816945,0.00020725,0,1,0
1,458.8239548,373.8502113,113.1514537,1.86906215,25.05334735,55.84173543,0.82715578,0.03556155,1,0,0
1,583.7396379,711.6153598,119.0245742,0.678636409,6.201455668,82.16147025,0.162754946,0.007416249,0,1,0
1,6507.910794,1502.922806,145.7955634,10.63368919,29.81620568,70.81306733,0.000393435,1.88E-05,1,0,1
1,1613.794195,2054.670459,83.33198879,2.365415572,31.60691531,64.49838728,0.000717056,2.93E-05,1,0,0
1,1615.061289,1667.962718,76.37309364,0.4235496,71.93084976,67.86925593,0.00012207,4.71E-06,0,1,0
1,582.5633269,552.3401466,104.4393768,0.388284075,65.44611003,50.72856453,0.492315765,0.022038272,0,1,0
1,355.0035235,349.0111672,104.9470509,0.22060832,24.17019342,36.83387928,0.731853171,0.032912604,0,1,0
1,537.3198657,467.2635844,137.7579057,0.753613901,38.12583933,54.74220244,0.693366975,0.029651054,1,0,0
1,2810.354919,486.27365,143.5759746,3.945568445,34.08623732,76.97511262,0.225268054,0.011109377,0,1,1
